epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3009.03,0.87756,0.61346,1.16212,0.90633,0.9375,0.97144,0.6597,1.19812,0.62847,1.23435,0.000812,0.000812,0.000812
62,3051.44,0.9139,0.60817,1.1916,0.88289,0.94239,0.96089,0.66172,1.13835,0.62213,1.21874,0.0007922,0.0007922,0.0007922
63,3094.37,0.8431,0.5824,1.13077,0.87193,0.95745,0.95963,0.64186,1.1831,0.68748,1.25043,0.0007724,0.0007724,0.0007724
64,3138.01,0.85508,0.5643,1.133,0.94775,0.9375,0.9781,0.66175,1.11815,0.59411,1.17201,0.0007526,0.0007526,0.0007526
65,3180.75,0.83454,0.57818,1.12957,0.96399,0.92188,0.98299,0.70256,1.12019,0.5823,1.19179,0.0007328,0.0007328,0.0007328
66,3224.81,0.81045,0.54945,1.10288,0.89361,1,0.98173,0.66133,1.19873,0.63135,1.26922,0.000713,0.000713,0.000713
67,3267.94,0.82995,0.55478,1.12209,0.9236,0.92188,0.9739,0.66403,1.14814,0.59797,1.21531,0.0006932,0.0006932,0.0006932
68,3309.48,0.81979,0.56426,1.12074,0.95916,0.92188,0.97605,0.68044,1.13724,0.56567,1.20438,0.0006734,0.0006734,0.0006734
69,8317.67,0.77447,0.52907,1.10416,0.92439,0.96875,0.97605,0.68532,1.17533,0.59208,1.24767,0.0006536,0.0006536,0.0006536
70,8345.25,0.782,0.53157,1.11347,0.92363,0.96875,0.97958,0.65967,1.20705,0.57549,1.27734,0.0006338,0.0006338,0.0006338
71,8372.19,0.83707,0.56257,1.154,0.88378,1,0.98032,0.66079,1.20229,0.6123,1.29512,0.000614,0.000614,0.000614
72,8414.59,0.7922,0.54769,1.10749,0.9807,0.95312,0.99018,0.69359,1.14194,0.5507,1.22414,0.0005942,0.0005942,0.0005942
73,8458.35,0.76257,0.52329,1.08444,0.96971,0.9375,0.98032,0.69531,1.1659,0.56396,1.25536,0.0005744,0.0005744,0.0005744
74,8502.89,0.78957,0.56431,1.11336,0.9234,0.95312,0.95638,0.67671,1.1429,0.572,1.23994,0.0005546,0.0005546,0.0005546
75,8548.36,0.84081,0.56057,1.13967,0.93738,0.93565,0.95238,0.67044,1.14821,0.58662,1.24967,0.0005348,0.0005348,0.0005348
76,8594.45,0.76717,0.52524,1.08987,0.97585,0.92188,0.97286,0.6866,1.14459,0.56689,1.21049,0.000515,0.000515,0.000515
77,8637.72,0.76052,0.53382,1.09113,0.96226,0.92188,0.97434,0.67256,1.14511,0.57396,1.20521,0.0004952,0.0004952,0.0004952
78,8680.68,0.73982,0.50311,1.09007,0.9295,0.9375,0.97006,0.67658,1.12329,0.57535,1.21498,0.0004754,0.0004754,0.0004754
79,8724.71,0.74998,0.50328,1.08221,0.89999,0.98424,0.96976,0.68693,1.07534,0.55985,1.17943,0.0004556,0.0004556,0.0004556
80,8768.95,0.7495,0.49973,1.08267,0.88794,1,0.96768,0.69804,1.09948,0.53787,1.19025,0.0004358,0.0004358,0.0004358
81,8812.78,0.74891,0.51461,1.0915,0.94018,0.98227,0.96073,0.68135,1.09465,0.5362,1.20643,0.000416,0.000416,0.000416
82,8857.96,0.72918,0.49782,1.0689,0.95373,0.96623,0.96498,0.70723,1.024,0.53439,1.17704,0.0003962,0.0003962,0.0003962
83,8901.93,0.74541,0.50737,1.08085,0.92375,0.96875,0.97052,0.69816,1.06603,0.53743,1.2138,0.0003764,0.0003764,0.0003764
84,10706.5,0.71031,0.49606,1.07594,0.93676,0.95312,0.96749,0.69132,1.0831,0.544,1.2031,0.0003566,0.0003566,0.0003566
85,10733.8,0.70355,0.48978,1.06768,0.92334,0.96875,0.96406,0.6973,1.14338,0.56976,1.24177,0.0003368,0.0003368,0.0003368
86,10761.6,0.71345,0.49715,1.08239,0.93702,0.96875,0.96637,0.67293,1.13422,0.57202,1.22131,0.000317,0.000317,0.000317
87,10797.4,0.72164,0.47449,1.0741,0.96111,0.96875,0.9693,0.67127,1.15123,0.59715,1.23518,0.0002972,0.0002972,0.0002972
88,10842.3,0.71395,0.48703,1.06863,0.96855,0.96245,0.9689,0.67125,1.1108,0.56987,1.1998,0.0002774,0.0002774,0.0002774
89,10888.8,0.70964,0.47905,1.07323,0.92506,0.96437,0.97911,0.708,1.08829,0.5709,1.1928,0.0002576,0.0002576,0.0002576
90,10934.6,0.68497,0.47325,1.05777,0.91279,0.98124,0.97177,0.7016,1.05159,0.53561,1.17487,0.0002378,0.0002378,0.0002378
91,10980.7,0.59573,0.39032,0.95935,0.93798,0.98438,0.9736,0.68112,1.08645,0.53065,1.21276,0.000218,0.000218,0.000218
92,11024.6,0.55502,0.35916,0.94904,0.92235,0.96875,0.97444,0.69081,1.09854,0.55129,1.22828,0.0001982,0.0001982,0.0001982
93,11068.4,0.53201,0.32809,0.93657,0.92517,0.96599,0.97536,0.69776,1.0794,0.56589,1.20411,0.0001784,0.0001784,0.0001784
94,11110.8,0.53852,0.33276,0.94879,0.9368,0.96875,0.97512,0.6976,1.03584,0.54385,1.18666,0.0001586,0.0001586,0.0001586
95,11154.2,0.55034,0.40909,0.95562,0.92591,0.98438,0.97911,0.7058,1.04328,0.52258,1.19654,0.0001388,0.0001388,0.0001388
96,11199.4,0.52232,0.32255,0.93769,0.92357,0.98438,0.98163,0.71788,1.05997,0.53335,1.20189,0.000119,0.000119,0.000119
97,11242.8,0.50391,0.31436,0.92094,0.92513,0.96543,0.98099,0.70476,1.0705,0.54263,1.21439,9.92e-05,9.92e-05,9.92e-05
98,11288.3,0.49153,0.31345,0.90781,0.93996,0.97857,0.98219,0.70749,1.07169,0.54588,1.21821,7.94e-05,7.94e-05,7.94e-05
99,11332.6,0.50518,0.31398,0.9245,0.92625,0.98119,0.98107,0.70476,1.06763,0.54338,1.21646,5.96e-05,5.96e-05,5.96e-05
100,11376.8,0.50202,0.30631,0.92552,0.89943,0.98438,0.97951,0.71341,1.06565,0.54781,1.21284,3.98e-05,3.98e-05,3.98e-05
